# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
yu jia 	愈加	c=2 d=9.36077e-09 t=7834
yu ju 	語句	c=1 d=1.64134e-06 t=7834
yu lan hua 	玉蘭花	c=0 d=9.16921e-11 t=7834
yu lan hua kai 	玉蘭花開	c=1 d=9.21517e-10 t=7834
yu liao dao 	預料到	c=0 d=7.43115e-09 t=7834
yu ni 	與你	c=1 d=7.06993e-10 t=7834
yu qi 	語氣	c=1 d=3.77385e-07 t=7834
yu qing tian 	御擎天	c=1 d=4.74977e-07 t=7834
yu ren 	雨人	c=1 d=8.21269e-08 t=7834
yu wang 	慾望	c=1 d=0.0361528 t=7834
yu wen 	宇文	c=0 d=3.02128e-09 t=7834
yu wen shao yu 	宇文少虞	c=5 d=0.118844 t=7834
yu xi 	預習	c=1 d=1 t=7389
yu yan 	語言	c=1 d=7.92887e-06 t=7834
yuan 	元	c=1 d=0.232655 t=6910
yuan bian cheng 	元編程	c=1 d=1 t=6911
yuan hao wen 	元好問	c=1 d=0.0105145 t=7834
yuan hua 	圓滑	c=1 d=1.0057e-08 t=7834
yuan lai 	原來	c=1 d=1 t=7032
yuan li 	原理	c=2 d=0.0739031 t=7834
yuan ma 	源碼	c=3 d=0.00559318 t=7834
yuan sheng 	原生	c=2 d=0.177292 t=7834
yuan sheng dai 	原聲帶	c=1 d=1 t=7737
yuan shi 	原始	c=4 d=0.354376 t=7834
yuan su 	元素	c=4 d=0.923014 t=7834
yuan xing 	原型	c=1 d=1 t=7188
yuan yi 	願意	c=1 d=6.75884e-10 t=7834
yuan yin 	原因	c=4 d=0.0149208 t=7834
yuan yuan 	遠遠	c=1 d=0.0010333 t=7834
yuan yun fu 	袁運甫	c=2 d=0.932394 t=7834
yue 	約	c=1 d=0.000236397 t=7834
yue li 	閱歷	c=1 d=0.00172937 t=7834
yue ying 	月影	c=1 d=0.0138427 t=7834
yue yue 	月月	c=1 d=0.0015415 t=7834
yue yue 	約約	c=1 d=0.00154923 t=7834
yun 	雲	c=1 d=0.486752 t=7834
yun tong 	雲童	c=1 d=0.980199 t=7834
yun xing 	運行	c=5 d=0.00505985 t=7834
yun ying 	運營	c=1 d=3.8707e-11 t=7834
yun zuo 	運作	c=1 d=3.71893e-11 t=7834
za tan 	雜談	c=1 d=0.00032718 t=7834
zai 	再	c=3 d=0.273898 t=7834
zai 	在	c=91 d=2.10403 t=7834
zai ban tu 	在半途	c=1 d=1.54975e-07 t=7834
zai ci 	再次	c=1 d=7.35846e-10 t=7834
zai ci 	在此	c=1 d=0.000278804 t=7834
zai du 	再度	c=1 d=0.00486835 t=7834
zai jian 	再見	c=1 d=0.826959 t=7834
zai lai 	再來	c=0 d=2.24363e-08 t=7834
zai lai shuo 	再來說	c=1 d=2.25488e-07 t=7834
zai le 	在了	c=0 d=0.0121846 t=7834
zai shui yi fang 	在水一方	c=1 d=1 t=7400
zai shui zhong yang 	在水中央	c=1 d=1 t=7403
zai xie 	再寫	c=1 d=8.00856e-06 t=7834
zai yi ci 	再一次	c=1 d=0.571209 t=7834
zai yu 	在於	c=2 d=0.00442715 t=7834
zai zhe li 	在這裏	c=3 d=0.0481131 t=7834
zai zhe zhong 	在這種	c=1 d=2.34084e-06 t=7834
zai zi lei 	在子類	c=1 d=0.00582847 t=7834
zan qie 	暫且	c=1 d=4.40657e-07 t=7834
zan shang 	讚賞	c=1 d=0.0668703 t=7834
zang 	葬	c=1 d=0.125556 t=7834
zao 	早	c=1 d=0.00794669 t=7834
zao dong 	躁動	c=1 d=2.49848e-08 t=7834
zao gai 	早該	c=1 d=1 t=7405
zao yao 	造謠	c=1 d=0.0397558 t=7834
zao zai 	早在	c=2 d=1.34775e-06 t=7834
ze 	則	c=3 d=0.68538 t=7834
ze ren 	責任	c=1 d=2.22168e-09 t=7834
ze shi 	則是	c=1 d=1.53433e-07 t=7834
ze xiang shi 	則像是	c=1 d=0.0104621 t=7834
zen me 	怎麼	c=3 d=0.0419605 t=7834
zen me zhi dao de 	怎麼知道的	c=1 d=1 t=7210
zeng duo 	增多	c=1 d=1 t=7699
zeng gao xie 	增高鞋	c=1 d=0.109154 t=7834
zeng jia 	增加	c=2 d=0.00810208 t=7834
zhai 	窄	c=1 d=1.94615e-10 t=7834
zhan 	戰	c=1 d=0.000247285 t=7834
zhan 	站	c=1 d=0.000248517 t=7834
zhan bi 	佔比	c=1 d=1 t=7507
zhan ju 	佔據	c=2 d=0.00273944 t=7834
zhan ju 	戰局	c=2 d=0.00154923 t=7834
zhan shen 	戰神	c=0 d=2.58079e-08 t=7834
zhan shi 	展示	c=1 d=0.640824 t=7834
zhan wu di 	戰無敵	c=6 d=0.748807 t=7834
zhan xin 	嶄新	c=1 d=8.92125e-11 t=7834
zhang 	張	c=1 d=5.23753e-10 t=7834
zhang 	章	c=4 d=0.000938578 t=7834
zhang cheng 	長成	c=1 d=0.00130051 t=7834
zhang chu 	張楚	c=1 d=1 t=7381
zhang lei 	張雷	c=1 d=1 t=7302
zhao 	找	c=2 d=0.167797 t=7834
zhao 	照	c=0 d=0.1 t=6916
zhao chang 	照常	c=1 d=1.60884e-06 t=7834
zhao dao 	找到	c=3 d=0.00369046 t=7834
zhao lai 	招來	c=1 d=4.17075e-07 t=7834
zhao shi ming deng 	照世明燈	c=1 d=1 t=6917
zhao xin 	招新	c=1 d=0.000500451 t=7834
zhe 	着	c=6 d=0.117251 t=7834
zhe 	者	c=0 d=0.00383931 t=7834
zhe 	這	c=12 d=0.765948 t=7834
zhe ba 	這把	c=1 d=0.15259 t=7834
zhe bian 	這邊	c=1 d=1.98e-07 t=7834
zhe ceng 	這層	c=1 d=0.0203434 t=7834
zhe dao ti 	這道題	c=3 d=1.93303 t=7456
zhe duan 	這段	c=0 d=8.74311e-10 t=7834
zhe duan ri zi 	這段日子	c=1 d=8.78693e-09 t=7834
zhe duan shi jian 	這段時間	c=1 d=4.00789e-09 t=7834
zhe dui yu 	這對於	c=1 d=4.87167e-11 t=7834
zhe er 	這兒	c=0 d=0.00510474 t=7834
zhe fang mian 	這方面	c=1 d=6.57606e-11 t=7834
zhe ge 	這個	c=17 d=0.632718 t=7834
zhe ge ci 	這個詞	c=1 d=9.42406e-09 t=7834
zhe ge mu di 	這個目的	c=1 d=1.27827e-06 t=7834
zhe ge shi 	這個是	c=1 d=4.16069e-08 t=7834
zhe ge te dian 	這個特點	c=1 d=5.20964e-06 t=7834
zhe hai shi 	這還是	c=1 d=2.8175e-10 t=7834
zhe hui rang 	這會讓	c=1 d=1 t=7203
zhe ji 	這集	c=1 d=6.85982e-08 t=7834
zhe ji ge 	這幾個	c=2 d=0.798524 t=7834
zhe jia huo 	這傢伙	c=1 d=0.246597 t=7834
zhe jian shi 	這件事	c=1 d=9.98097e-08 t=7834
zhe jiu 	這就	c=0 d=5.9043e-09 t=7834
zhe jiu he 	這就和	c=1 d=5.93389e-08 t=7834
zhe ju qing 	這劇情	c=1 d=2.18824e-07 t=7834
zhe lei 	這類	c=1 d=5.47674e-06 t=7834
zhe li 	這裏	c=12 d=0.970465 t=7834
zhe liang zhe 	這兩者	c=1 d=7.5996e-07 t=7834
zhe me 	這麼	c=4 d=0.238467 t=7834
zhe me ji jian shi 	這麼幾件事	c=1 d=6.92876e-08 t=7834
zhe ming zi 	這名字	c=1 d=0.279431 t=7834
zhe mo 	折磨	c=0 d=0.00349094 t=7834
zhe mo le 	折磨了	c=1 d=0.0350844 t=7834
zhe pian 	這篇	c=3 d=4.13441e-06 t=7834
zhe qi shi 	這其實	c=1 d=0.112478 t=7834
zhe qian si ji 	這前四集	c=1 d=0.0800583 t=7834
zhe qu zi 	這曲子	c=1 d=8.01128e-10 t=7834
zhe rang 	這讓	c=2 d=0.0018734 t=7834
zhe shi 	這是	c=7 d=1.97605 t=7834
zhe shi nian jian 	這十年間	c=1 d=0.0668703 t=7834
zhe shou 	這首	c=2 d=1.32816 t=7834
zhe shou qu zi 	這首曲子	c=1 d=0.763379 t=7834
zhe si ge zi 	這四個字	c=1 d=0.025223 t=7834
zhe teng 	折騰	c=1 d=1 t=7414
zhe wei 	這位	c=5 d=3.36691e-06 t=7834
zhe xia 	這下	c=1 d=0.00548905 t=7834
zhe xie 	這些	c=11 d=0.0176092 t=7834
zhe xie wen ti 	這些問題	c=1 d=3.99823e-10 t=7834
zhe xiu bu 	遮羞布	c=1 d=0.00909528 t=7834
zhe xu yao 	這需要	c=1 d=1 t=6646
zhe xue 	哲學	c=3 d=0.00892374 t=7834
zhe yang 	這樣	c=12 d=0.322539 t=7834
zhe yao shi 	這要是	c=1 d=0.2334 t=7834
zhe ye 	這也	c=1 d=0.0158819 t=7834
zhe ye di que shi 	這也的確是	c=1 d=0.159614 t=7834
zhe yi 	這一	c=4 d=0.00209656 t=7834
zhe yi ci 	這一次	c=1 d=1.99026e-09 t=7834
zhe yi dian 	這一點	c=1 d=5.21053e-08 t=7834
zhe yi nian 	這一年	c=2 d=0.00157119 t=7834
zhe yi qie 	這一切	c=0 d=0.00742736 t=7834
zhe yi yao qiu 	這一要求	c=1 d=2.22093e-05 t=7834
zhe ying gai 	這應該	c=1 d=2.68611e-07 t=7834
zhe zhi shao 	這至少	c=1 d=2.90331e-10 t=7834
zhe zhong 	這種	c=12 d=0.0464333 t=7834
zhe zuo 	這座	c=1 d=0.0378169 t=7834
zhen 	真	c=1 d=0.23457 t=7834
zhen cai se 	真彩色	c=1 d=1 t=6712
zhen de 	真的	c=1 d=1 t=7088
zhen han ren xin 	震撼人心	c=1 d=0.715338 t=7834
zhen shi 	真實	c=2 d=0.148168 t=7834
zhen shi 	真是	c=1 d=0.386741 t=7834
zhen xiang 	真相	c=2 d=0.00179097 t=7834
zhen xin 	真心	c=1 d=0.118837 t=7834
zhen zheng 	真正	c=1 d=0.00509243 t=7834
zhen zhi 	真摯	c=1 d=6.06944e-09 t=7834
zheng 	正	c=2 d=0.00631391 t=7834
zheng dao 	正道	c=1 d=1.9032e-07 t=7834
zheng dao kun lun 	正道崑崙	c=2 d=6.88754e-07 t=7834
zheng dou 	爭鬥	c=1 d=0.722527 t=7834
zheng fu 	政府	c=1 d=1.76095e-10 t=7834
zheng ge 	整個	c=5 d=0.0160163 t=7834
zheng ning 	猙獰	c=1 d=0.0165727 t=7834
zheng qu 	爭取	c=1 d=0.000550326 t=7834
zheng que 	正確	c=1 d=0.000893825 t=7834
zheng shu 	整數	c=2 d=6.12178e-06 t=7834
zheng ti 	整體	c=1 d=4.18154e-08 t=7834
zheng wen 	正文	c=1 d=0.410656 t=7834
zheng yi 	正義	c=2 d=0.0190631 t=7834
zheng zai 	正在	c=3 d=0.410656 t=7834
zheng ze 	正則	c=1 d=1 t=7791
zheng zha 	掙扎	c=1 d=2.73377e-08 t=7834
zheng zhi 	政治	c=1 d=1 t=7709
zhi 	之	c=6 d=0.921799 t=7834
zhi 	值	c=5 d=0.0565149 t=7834
zhi 	只	c=0 d=3.97693e-07 t=7834
zhi 	至	c=1 d=1.13373e-06 t=7834
zhi an 	之案	c=1 d=4.7975e-07 t=7834
zhi bao kuo 	只包括	c=1 d=3.99687e-06 t=7834
zhi bu guo 	只不過	c=2 d=0.121846 t=7834
zhi chi 	支持	c=2 d=0.00362468 t=7834
zhi dai 	指代	c=1 d=9.4713e-09 t=7834
zhi dao 	指導	c=1 d=7.45039e-09 t=7834
zhi dao 	直到	c=4 d=0.469848 t=7834
zhi dao 	知道	c=4 d=0.146716 t=7834
zhi de 	值得	c=3 d=0.00307365 t=7834
zhi de 	指的	c=1 d=6.00802e-07 t=7834
zhi dian 	指點	c=1 d=1 t=7015
zhi ding 	制定	c=1 d=8.82797e-05 t=7834
zhi dui 	支隊	c=0 d=2.31275e-12 t=7834
zhi fu 	支付	c=1 d=6.38171e-11 t=7834
zhi hao 	只好	c=1 d=1 t=6882
zhi hao yong 	只好用	c=1 d=1 t=7200
zhi hou 	之後	c=12 d=1.15742 t=7834
zhi hu 	指虎	c=1 d=0.180866 t=7834
zhi hui 	智慧	c=1 d=0.26982 t=7834
zhi ji de 	只記得	c=1 d=0.0335406 t=7834
zhi jia 	之家	c=0 d=3.15326e-12 t=7834
zhi jian 	之間	c=4 d=5.8973e-05 t=7834
zhi jie 	直接	c=2 d=0.180409 t=7834
zhi jie yong 	直接用	c=1 d=1 t=6973
zhi lei 	志磊	c=0 d=2.71967e-07 t=7834
zhi li 	治理	c=2 d=1.9948e-09 t=7834
zhi li neng li 	治理能力	c=1 d=2.05618e-10 t=7834
zhi neng 	智能	c=1 d=0.00499159 t=7834
zhi neng 	職能	c=1 d=1 t=7688
zhi pei zhe 	支配者	c=0 d=0.000543443 t=7834
zhi qian 	之前	c=8 d=0.653874 t=7834
zhi shang 	之上	c=1 d=6.08515e-10 t=7834
zhi shao 	至少	c=8 d=0.367849 t=7834
zhi shi 	只是	c=8 d=0.0803767 t=7834
zhi shi 	知識	c=1 d=0.000880518 t=7834
zhi wai 	之外	c=1 d=0.111359 t=7834
zhi xiang 	志向	c=1 d=0.382893 t=7834
zhi xiang 	指向	c=3 d=0.00600796 t=7834
zhi xing 	執行	c=1 d=0.937067 t=7834
zhi xing hou 	執行後	c=1 d=1.69132e-06 t=7834
zhi xu yao 	只需要	c=1 d=7.17434e-06 t=7834
zhi yao 	只要	c=2 d=0.000829291 t=7834
zhi ye 	之夜	c=0 d=2.74084e-10 t=7834
zhi yi 	之一	c=1 d=0.0256042 t=7834
zhi you 	只有	c=3 d=0.073884 t=7834
zhi yu 	之餘	c=2 d=0.084163 t=7834
zhi yu 	至於	c=5 d=0.19205 t=7834
zhi yuan 	志願	c=3 d=0.00778607 t=7834
zhi yue 	制約	c=1 d=4.33049e-08 t=7834
zhi yun xu 	只允許	c=1 d=0.219808 t=7834
zhi zhen 	指針	c=9 d=0.0224364 t=7834
zhi zhong 	之中	c=5 d=0.136208 t=7834
zhi zhuo 	執着	c=1 d=1 t=7180
zhong 	中	c=19 d=0.842699 t=7834
zhong 	種	c=1 d=0.00366107 t=7834
zhong da 	重大	c=1 d=2.1616e-10 t=7834
zhong dian 	重點	c=2 d=0.152596 t=7834
zhong duan 	終端	c=3 d=0.00788289 t=7834
zhong guo 	中國	c=2 d=2.77248e-09 t=7834
zhong guo hua 	中國畫	c=1 d=1 t=7824
zhong jian jian 	中間件	c=1 d=0.447088 t=7834
zhong jiu 	終究	c=1 d=0.0739031 t=7834
zhong shang 	中傷	c=1 d=0.0395575 t=7834
zhong sheng 	中生	c=0 d=1.50395e-08 t=7834
zhong tu 	中途	c=0 d=7.35721e-09 t=7834
zhong tu pao le 	中途跑了	c=1 d=7.39409e-08 t=7834
zhong wen 	中文	c=1 d=0.00135358 t=7834
zhong xiao jie yi 	忠孝節義	c=1 d=1.17431e-08 t=7834
zhong yang 	中央	c=4 d=0.230075 t=7834
zhong yao 	重要	c=1 d=0.0439369 t=7834
zhong zhi 	終止	c=2 d=1.1849 t=7834
zhou 	咒	c=1 d=1 t=6729
zhou nian 	週年	c=1 d=0.00334597 t=7834
zhou qi 	週期	c=1 d=0.000220415 t=7834
zhu 	主	c=1 d=0.379639 t=7834
zhu chuang ti 	主窗體	c=2 d=8.19427e-05 t=7834
zhu dao 	主導	c=0 d=0.00742736 t=7834
zhu dao zhe yi qie 	主導這一切	c=1 d=0.0746459 t=7834
zhu guan 	主觀	c=1 d=2.53012e-09 t=7834
zhu jian 	逐漸	c=0 d=1.1396e-09 t=7834
zhu jian shi wei 	逐漸式微	c=1 d=1.14532e-08 t=7834
zhu jin cheng 	主進程	c=12 d=4.21742 t=7834
zhu jue 	主角	c=1 d=0.565525 t=7834
zhu liu 	主流	c=1 d=1.22836e-08 t=7834
zhu ming 	註明	c=1 d=6.17711e-10 t=7834
zhu ren 	主人	c=0 d=2.14973e-05 t=7834
zhu shi 	注視	c=1 d=5.26379e-10 t=7834
zhu yao 	主要	c=10 d=0.047923 t=7834
zhu yao hai shi 	主要還是	c=2 d=5.23827e-06 t=7834
zhu yao jie kou 	主要接口	c=1 d=0.000106752 t=7834
zhu yao jiu shi 	主要就是	c=1 d=4.44012e-08 t=7834
zhu yao shi 	主要是	c=3 d=0.0299253 t=7834
zhu yao you 	主要由	c=1 d=0.00032882 t=7834
zhu yi 	主義	c=4 d=3.01791 t=7683
zhu yi 	注意	c=4 d=0.735385 t=7834
zhu zhi 	主旨	c=1 d=2.63974e-08 t=7834
zhuan 	轉	c=0 d=2.06543e-05 t=7834
zhuan cheng 	轉成	c=1 d=0.0161635 t=7834
zhuan huan 	轉換	c=4 d=0.890819 t=7834
zhuan tai 	轉檯	c=1 d=1 t=7729
zhuan ye 	專業	c=2 d=0.000876127 t=7834
zhuan ye ren shi 	專業人士	c=1 d=7.30286e-09 t=7834
zhuan zai 	轉載	c=1 d=0.000338834 t=7834
zhuang 	裝	c=2 d=0.0953711 t=7834
zhuang bei 	裝備	c=1 d=0.16696 t=7834
zhuang shi 	裝飾	c=1 d=0.00794669 t=7834
zhuang tai 	狀態	c=12 d=1.88208 t=7834
zhuang zuo 	裝作	c=1 d=0.0213864 t=7834
zhui sha 	追殺	c=1 d=4.23378e-07 t=7834
zhui zhui zhui 	追追追	c=1 d=1 t=6889
zhun bei 	準備	c=1 d=8.98612e-08 t=7834
zhun ze 	準則	c=1 d=0.189191 t=7834
zhuo mian 	桌面	c=2 d=2.30175e-05 t=7834
zhuo shi 	着實	c=1 d=5.67279e-08 t=7834
zhuo shou 	着手	c=1 d=2.64019e-10 t=7834
zhuo zhu 	拙著	c=1 d=1.25946e-08 t=7834
zi 	子	c=3 d=0.825201 t=7834
zi 	梓	c=1 d=5.34334e-10 t=7834
zi ben 	資本	c=4 d=1.55275 t=7834
zi ben guan xi 	資本關係	c=1 d=1 t=7695
zi ben jia 	資本家	c=1 d=1 t=7702
zi ben zhu yi 	資本主義	c=2 d=1.9802 t=7673
zi cong 	自從	c=1 d=1 t=7426
zi ding 	自定	c=0 d=2.41796e-06 t=7834
zi ding i 	自定i	c=1 d=2.43008e-05 t=7834
zi ding yi 	自定義	c=2 d=0.771052 t=7834
zi dong 	自動	c=3 d=0.000385742 t=7834
zi fu chuan 	字符串	c=3 d=1.84311 t=7489
zi ji 	自己	c=30 d=0.699985 t=7834
zi ji xie 	自己寫	c=1 d=0.00406639 t=7834
zi jing 	紫荊	c=1 d=1 t=7394
zi lei 	子類	c=2 d=0.00438413 t=7834
zi sha 	自殺	c=1 d=0.216536 t=7834
zi shen 	自身	c=1 d=2.93958e-09 t=7834
zi shi ying 	自適應	c=1 d=1 t=6702
zi ti 	字體	c=1 d=5.58833e-08 t=7834
zi xi 	仔細	c=3 d=1.37705e-07 t=7834
zi xin 	自信	c=1 d=2.60762e-11 t=7834
zi xu lie 	子序列	c=1 d=1 t=6739
zi you 	自由	c=4 d=1.38449 t=7834
zi yuan 	資源	c=2 d=0.0490458 t=7834
zi yue 	子曰	c=1 d=0.0497871 t=7834
zong he 	綜合	c=3 d=0.00339677 t=7834
zong he ju ping 	綜合劇評	c=1 d=0.000385874 t=7834
zong jie 	總結	c=4 d=0.0065062 t=7834
zong shang 	綜上	c=1 d=1 t=7246
zong shi 	總是	c=1 d=0.00909528 t=7834
zong suan 	總算	c=1 d=0.00551656 t=7834
zong xiang 	縱向	c=1 d=0.0605068 t=7834
zong zhi 	總之	c=1 d=0.00242967 t=7834
zou bu liao 	走不了	c=0 d=0.00137049 t=7834
zou bu liao le 	走不了了	c=1 d=0.0137736 t=7834
zou chu 	走出	c=1 d=0.0115047 t=7834
zou xiang 	走向	c=1 d=3.137e-09 t=7834
zou ye 	走謁	c=1 d=1 t=7652
zu 	組	c=0 d=5.08015e-05 t=7834
zu cheng 	組成	c=1 d=2.54193e-05 t=7834
zu gou 	足夠	c=1 d=0.00171216 t=7834
zu he 	組合	c=2 d=0.000196615 t=7834
zu hui 	組會	c=1 d=0.00133343 t=7834
zu jian 	組件	c=2 d=0.000183924 t=7834
zu qu 	組曲	c=3 d=0.955997 t=7834
zu se 	阻塞	c=1 d=0.843665 t=7834
zu yi 	足矣	c=1 d=1 t=7057
zu zhang 	組長	c=1 d=1.05708e-06 t=7834
zu zhi 	組織	c=6 d=0.00339762 t=7834
zui 	最	c=2 d=0.115903 t=7834
zui chang 	最長	c=0 d=0.1 t=6737
zui chang gong gong 	最長公共	c=1 d=1 t=6738
zui da 	最大	c=1 d=1 t=6774
zui da zhi 	最大值	c=2 d=1.96561 t=7010
zui e 	罪惡	c=1 d=0.0380064 t=7834
zui han 	醉漢	c=1 d=0.00222055 t=7834
zui hou 	最後	c=3 d=0.0356146 t=7834
zui ke kao 	最可靠	c=1 d=0.162026 t=7834
zui mo da yan 	罪莫大焉	c=1 d=0.00932553 t=7834
zui xin ban 	最新版	c=1 d=1 t=6516
zui xin kuan 	最新款	c=1 d=0.00588705 t=7834
zui zhong 	最終	c=3 d=0.802551 t=7834
zui zhong yao 	最重要	c=2 d=2.59276e-08 t=7834
zui zhu yao 	最主要	c=1 d=1.48565e-10 t=7834
zun xun 	遵循	c=2 d=4.16418e-05 t=7834
zun zhe 	尊者	c=1 d=0.315058 t=7834
zun zhong 	尊重	c=1 d=0.0655462 t=7834
zuo 	做	c=4 d=0.0179537 t=7834
zuo cheng 	做成	c=1 d=0.0246103 t=7834
zuo chu 	作出	c=1 d=9.9586e-11 t=7834
zuo chu 	做出	c=2 d=6.15841e-08 t=7834
zuo dao 	做到	c=2 d=0.000750328 t=7834
zuo ke 	作客	c=1 d=1.50421e-09 t=7834
zuo le 	做了	c=2 d=0.250349 t=7834
zuo lian 	左臉	c=0 d=0.00160829 t=7834
zuo lian shang 	左臉上	c=2 d=0.0456153 t=7834
zuo pin 	作品	c=2 d=0.000526585 t=7834
zuo sui 	作祟	c=1 d=0.136014 t=7834
zuo wei 	作爲	c=5 d=0.102775 t=7834
zuo wen zhang 	做文章	c=1 d=0.337902 t=7834
zuo ye 	作業	c=7 d=2.94799 t=7654
zuo yong 	作用	c=3 d=0.0467732 t=7834
zuo yong yu 	作用於	c=1 d=1 t=7244
zuo you 	左右	c=1 d=0.000238772 t=7834
zuo zhe 	作者	c=7 d=0.00123859 t=7834
